,artist,num_lines,sentiment,tags,f_k_grade,year,pos,num_syllables,difficult_words,fog_index,title,num_dupes,flesch_index,num_words,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,genre,danceability,energy,loudness,instrumentalness,liveness,spotify_id,spotify_url,duration_ms
64,Katy Perry,64,"{'neg': 0.005, 'neu': 0.6920000000000001, 'pos': 0.303, 'compound': 0.9989}",['pop'],1.7000000000000002,2014,80,468.0,19,4.0,Birthday,44,91.78,368,0.005,0.6920000000000001,0.303,0.9989,pop,0.719,0.674,-5.122,3.75e-06,0.112,2xLOMHjkOK8nzxJ4r6yOKR,https://api.spotify.com/v1/tracks/2xLOMHjkOK8nzxJ4r6yOKR,215042.0
65,Lady Antebellum,50,"{'neg': 0.063, 'neu': 0.834, 'pos': 0.10300000000000001, 'compound': 0.9403}","['country', 'pop']",0.9,2014,81,397.8,23,4.4,Bartender,30,99.23,328,0.063,0.834,0.10300000000000001,0.9403,country,0.631,0.937,-3.858,7.38e-06,0.327,6olKv2HP3XgBpvVxAswowe,https://api.spotify.com/v1/tracks/6olKv2HP3XgBpvVxAswowe,198267.0
66,Naughty Boy,52,"{'neg': 0.10400000000000001, 'neu': 0.8320000000000001, 'pos': 0.064, 'compound': -0.9481}",[],0.1,2014,82,401.4,15,4.800000000000001,La La La,38,106.67,382,0.10400000000000001,0.8320000000000001,0.064,-0.9481,none,0.772,0.65,-5.202,1.13e-06,0.0905,36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,222200.0
67,Robin Thicke,118,"{'neg': 0.085, 'neu': 0.788, 'pos': 0.127, 'compound': 0.8678}",['soul'],0.9,2014,83,859.5,42,4.4,Blurred Lines,54,99.23,744,0.085,0.788,0.127,0.8678,soul,0.853,0.599,-4.756,7.93e-06,0.0759,0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,263827.0
68,Lady Gaga,79,"{'neg': 0.063, 'neu': 0.769, 'pos': 0.169, 'compound': 0.9706}","['electronic/dance', 'pop']",0.1,2014,84,603.9,29,4.800000000000001,Do What U Want,52,106.67,558,0.063,0.769,0.169,0.9706,electronic/dance,0.778,0.801,-4.65,1.18e-06,0.0881,5XKXMWPACPq51OiqzxenZo,https://api.spotify.com/v1/tracks/5XKXMWPACPq51OiqzxenZo,216573.0
69,5 Seconds Of Summer,50,"{'neg': 0.1, 'neu': 0.76, 'pos': 0.14, 'compound': 0.9574}",['pop'],2.1,2014,86,561.6,26,5.6,Amnesia,28,96.18,456,0.1,0.76,0.14,0.9574,pop,0.594,0.497,-5.26,0.0,0.162,1JCCdiru7fhstOIF4N7WJC,https://api.spotify.com/v1/tracks/1JCCdiru7fhstOIF4N7WJC,237248.0
70,Lil Wayne,98,"{'neg': 0.11900000000000001, 'neu': 0.783, 'pos': 0.098, 'compound': -0.9513}",[],2.1,2014,89,1069.2,86,5.6,Believe Me,27,96.18,888,0.11900000000000001,0.783,0.098,-0.9513,none,0.844,0.491,-8.807,0.0,0.111,6t2eIONH4Sax3R21QWiKNp,https://api.spotify.com/v1/tracks/6t2eIONH4Sax3R21QWiKNp,337640.0
71,Jake Owen,20,"{'neg': 0.024, 'neu': 0.773, 'pos': 0.203, 'compound': 0.9909}",['country'],4.0,2014,91,297.9,35,6.4,Beachin',11,85.69,231,0.024,0.773,0.203,0.9909,country,0.527,0.902,-5.352,4.63e-05,0.0669,5dNGORzxFb5z3v7vSAFkTU,https://api.spotify.com/v1/tracks/5dNGORzxFb5z3v7vSAFkTU,191040.0
72,Macklemore & Ryan Lewis,78,"{'neg': 0.084, 'neu': 0.798, 'pos': 0.11800000000000001, 'compound': 0.9679000000000001}",[],1.7000000000000002,2014,92,792.9,102,5.2,White Walls,20,97.2,636,0.084,0.798,0.11800000000000001,0.9679000000000001,none,0.767,0.782,-5.545,0.0,0.338,6I3KeXBT0E9MoMqYz8srVq,https://api.spotify.com/v1/tracks/6I3KeXBT0E9MoMqYz8srVq,220319.0
73,5 Seconds Of Summer,53,"{'neg': 0.027, 'neu': 0.893, 'pos': 0.08, 'compound': 0.9692000000000001}",['pop'],-0.30000000000000004,2014,93,396.9,20,4.4,She Looks So Perfect,38,107.69,353,0.027,0.893,0.08,0.9692000000000001,pop,0.494,0.951,-4.237,0.0,0.327,1gugDOSMREb34Xo0c1PlxM,https://api.spotify.com/v1/tracks/1gugDOSMREb34Xo0c1PlxM,202496.0
74,Zedd,46,"{'neg': 0.023, 'neu': 0.934, 'pos': 0.042, 'compound': 0.7838}",[],-0.30000000000000004,2014,94,333.9,5,4.4,Stay The Night,41,107.69,301,0.023,0.934,0.042,0.7838,none,0.596,0.738,-3.109,0.0,0.0947,2QtJA4gbwe1AcanB2p21aP,https://api.spotify.com/v1/tracks/2QtJA4gbwe1AcanB2p21aP,217347.0
75,Beyonce,88,"{'neg': 0.02, 'neu': 0.865, 'pos': 0.115, 'compound': 0.9964000000000001}","['pop', 'hip-hop/rnb']",1.3,2014,95,846.0,71,4.800000000000001,Partition,34,98.21,687,0.02,0.865,0.115,0.9964000000000001,pop,0.412,0.441,-11.523,0.0726,0.306,5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg,319467.0
76,Lee Brice,31,"{'neg': 0.013000000000000001, 'neu': 0.799, 'pos': 0.188, 'compound': 0.9911000000000001}",['country'],0.9,2014,98,252.0,7,4.4,I Don't Dance,19,99.23,207,0.013000000000000001,0.799,0.188,0.9911000000000001,country,0.587,0.559,-7.742,6.69e-06,0.0992,5aj0xPGiEUN3aI2oOYu14S,https://api.spotify.com/v1/tracks/5aj0xPGiEUN3aI2oOYu14S,221173.0
77,Miranda Lambert,31,"{'neg': 0.165, 'neu': 0.684, 'pos': 0.151, 'compound': -0.9502}",['country'],4.8,2014,99,459.9,28,6.0,Somethin' Bad,42,78.25,332,0.165,0.684,0.151,-0.9502,country,0.68,0.888,-5.308,2.82e-06,0.0575,6s9m5J92By7jii22Q2XtY2,https://api.spotify.com/v1/tracks/6s9m5J92By7jii22Q2XtY2,169587.0
78,Miley Cyrus,40,"{'neg': 0.055, 'neu': 0.646, 'pos': 0.299, 'compound': 0.997}","['pop', 'rock']",0.5,2014,100,265.5,18,4.0,Adore You,24,100.24,224,0.055,0.646,0.299,0.997,pop,0.583,0.655,-5.407,3.57e-06,0.113,5AnCLGg35ziFOloEnXK4uu,https://api.spotify.com/v1/tracks/5AnCLGg35ziFOloEnXK4uu,278747.0
